County,est_icu_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
San Joaquin,10,"4 [4, 4]","4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [4, 5]","5 [4, 6]","5 [4, 6]","5 [4, 7]","5 [3, 8]","5 [3, 8]","5 [3, 9]","6 [4, 10]","6 [4, 11]","7 [4, 12]","7 [4, 14]","8 [4, 15]","8 [5, 17]","9 [5, 18]","9 [5, 20]","10 [5, 22]","11 [6, 25]","11 [6, 27]","12 [6, 30]","13 [6, 33]","14 [7, 36]","15 [7, 40]","16 [7, 44]","17 [8, 49]","19 [8, 54]","20 [9, 60]","21 [9, 66]"
San Luis Obispo,8,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 3]","1 [0, 3]","1 [0, 3]","1 [0, 3]","1 [1, 4]"
San Mateo,27,"10 [10, 10]","11 [11, 11]","11 [11, 12]","12 [11, 14]","12 [11, 15]","13 [10, 16]","13 [10, 18]","13 [10, 19]","14 [10, 21]","14 [9, 23]","15 [10, 26]","16 [10, 28]","17 [10, 31]","18 [11, 34]","20 [12, 38]","21 [12, 42]","23 [13, 46]","24 [13, 51]","26 [14, 57]","28 [15, 62]","30 [16, 69]","32 [16, 76]","34 [17, 84]","37 [18, 93]","39 [19, 102]","42 [20, 113]","45 [21, 125]","49 [22, 138]","52 [23, 152]","56 [24, 168]","60 [26, 185]"
Santa Barbara,14,"4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [4, 5]","5 [4, 6]","5 [4, 6]","5 [4, 7]","5 [4, 7]","5 [4, 8]","5 [3, 9]","6 [4, 10]","6 [4, 11]","6 [4, 12]","7 [4, 13]","7 [4, 14]","8 [5, 16]","8 [5, 17]","9 [5, 19]","10 [5, 21]","10 [6, 23]","11 [6, 26]","12 [6, 28]","13 [6, 31]","14 [7, 35]","15 [7, 38]","16 [7, 42]","17 [8, 47]","18 [8, 51]","19 [9, 57]","21 [9, 63]","22 [10, 69]"
Santa Clara,80,"29 [29, 29]","30 [29, 31]","31 [29, 34]","32 [29, 37]","33 [29, 41]","35 [29, 45]","36 [28, 49]","37 [27, 53]","38 [26, 58]","38 [25, 63]","41 [26, 70]","44 [27, 77]","47 [29, 85]","50 [30, 94]","54 [32, 104]","58 [33, 115]","62 [35, 127]","67 [37, 140]","71 [39, 155]","76 [41, 171]","82 [43, 189]","88 [45, 208]","94 [47, 230]","101 [50, 254]","108 [52, 280]","116 [55, 309]","124 [57, 342]","133 [60, 377]","143 [63, 416]","153 [67, 460]","164 [70, 508]"
Santa Cruz,2,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 3]","1 [0, 3]","1 [0, 3]","1 [0, 3]"
Shasta,15,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 3]","1 [0, 3]","1 [0, 3]","1 [0, 3]","1 [1, 4]"
Solano,21,"3 [3, 3]","3 [3, 3]","3 [3, 3]","3 [3, 4]","3 [3, 4]","3 [3, 4]","4 [3, 5]","4 [3, 5]","4 [3, 6]","4 [2, 6]","4 [3, 7]","4 [3, 8]","5 [3, 9]","5 [3, 9]","5 [3, 10]","6 [3, 12]","6 [4, 13]","7 [4, 14]","7 [4, 15]","8 [4, 17]","8 [4, 19]","9 [4, 21]","9 [5, 23]","10 [5, 25]","11 [5, 28]","12 [5, 31]","12 [6, 34]","13 [6, 38]","14 [6, 42]","15 [7, 46]","16 [7, 51]"
Sonoma,17,"1 [1, 1]","1 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","3 [1, 5]","3 [2, 5]","3 [2, 6]","3 [2, 6]","3 [2, 7]","4 [2, 8]","4 [2, 8]","4 [2, 9]","4 [2, 10]","5 [2, 11]","5 [2, 13]","5 [3, 14]","6 [3, 15]","6 [3, 17]","7 [3, 19]","7 [3, 21]","8 [3, 23]","8 [3, 25]"
Stanislaus,16,"3 [3, 3]","3 [3, 3]","3 [3, 4]","4 [3, 4]","4 [3, 5]","4 [3, 5]","4 [3, 5]","4 [3, 6]","4 [3, 6]","4 [3, 7]","5 [3, 8]","5 [3, 9]","5 [3, 10]","6 [3, 11]","6 [4, 12]","6 [4, 13]","7 [4, 14]","7 [4, 16]","8 [4, 17]","9 [5, 19]","9 [5, 21]","10 [5, 23]","11 [5, 26]","11 [6, 28]","12 [6, 31]","13 [6, 35]","14 [6, 38]","15 [7, 42]","16 [7, 46]","17 [7, 51]","18 [8, 57]"
Tulare,9,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","3 [1, 6]","3 [1, 7]","3 [2, 7]","3 [2, 8]","3 [2, 9]","4 [2, 10]","4 [2, 11]","4 [2, 12]","5 [2, 13]","5 [2, 15]","5 [2, 16]"
Tuolumne,2,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 3]","1 [0, 3]","1 [0, 3]","1 [1, 4]","1 [1, 4]"
Ventura,16,"5 [5, 5]","5 [5, 5]","5 [5, 6]","5 [5, 6]","6 [5, 7]","6 [5, 8]","6 [5, 8]","6 [5, 9]","6 [4, 10]","6 [4, 11]","7 [4, 12]","7 [5, 13]","8 [5, 15]","9 [5, 16]","9 [5, 18]","10 [6, 20]","11 [6, 22]","11 [6, 24]","12 [7, 26]","13 [7, 29]","14 [7, 32]","15 [8, 35]","16 [8, 39]","17 [8, 43]","18 [9, 48]","20 [9, 53]","21 [10, 58]","23 [10, 64]","24 [11, 71]","26 [11, 78]","28 [12, 86]"
Yolo,2,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","2 [1, 7]"
Yuba,7,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [0, 1]","1 [0, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 7]","3 [1, 7]","3 [1, 8]","3 [1, 9]","3 [1, 10]"
