"","FIPS","num_acute_beds"
"396",13243,0
"397",13245,557
"398",13247,0
"399",13251,0
"400",13253,0
"401",13255,103
"402",13257,0
"403",13261,0
"404",13267,0
"405",13275,122
"406",13277,119
"407",13279,44
"408",13281,15
"409",13285,77
"410",13291,35
"411",13293,28
"412",13297,0
"413",13299,0
"414",13303,0
"415",13305,0
"416",13313,145
"417",13317,0
"418",13321,0
"419",15001,104
"420",15003,928
"421",15007,52
"422",15009,166
"423",16001,553
"424",16005,48
"425",16007,0
"426",16009,18
"427",16011,5
"428",16013,19
"429",16017,19
"430",16019,118
"431",16021,20
"432",16023,0
"433",16027,166
"434",16029,16
"435",16031,12
"436",16035,0
"437",16039,25
"438",16041,18
"439",16045,6
"440",16047,10
"441",16049,37
"442",16053,22
"443",16055,142
"444",16057,14
"445",16059,16
"446",16065,23
"447",16067,25
"448",16069,54
"449",16071,0
"450",16077,0
"451",16079,0
"452",16081,13
"453",16083,103
"454",16085,23
"455",16087,12
"456",17001,176
"457",17005,26
"458",17011,50
"459",17019,316
"460",17021,43
"461",17025,10
"462",17027,0
"463",17029,84
"464",17031,7059
"465",17033,18
"466",17037,85
"467",17039,0
"468",17043,1293
"469",17045,25
"470",17049,90
"471",17051,0
"472",17053,16
"473",17055,16
"474",17057,34
"475",17061,13
"476",17063,65
"477",17065,0
"478",17067,15
"479",17069,25
"480",17073,41
"481",17075,19
"482",17077,116
"483",17081,65
"484",17083,42
"485",17085,0
"486",17089,541
"487",17091,243
"488",17095,53
"489",17097,491
"490",17099,107
"491",17101,25
"492",17103,43
"493",17105,33
"494",17107,22
"495",17109,31
"496",17111,205
"497",17113,189
"498",17115,312
"499",17117,25
"500",17119,326
"501",17121,43
"502",17125,0
"503",17127,0
"504",17131,22
"505",17135,42
"506",17137,63
"507",17141,13
"508",17143,522
"509",17145,42
"510",17147,0
"511",17149,9
"512",17157,25
"513",17159,24
"514",17161,301
"515",17163,319
"516",17165,38
"517",17167,509
"518",17169,22
"519",17173,30
"520",17177,78
"521",17179,89
"522",17181,23
"523",17183,90
"524",17185,0
