"","FIPS","num_icu_beds"
"348",12075,0
"349",12077,0
"350",12079,0
"351",12081,90
"352",12083,110
"353",12085,74
"354",12086,593
"355",12087,14
"356",12089,0
"357",12091,57
"358",12093,8
"359",12095,388
"360",12097,66
"361",12099,401
"362",12101,166
"363",12103,279
"364",12105,145
"365",12107,10
"366",12109,47
"367",12111,69
"368",12113,16
"369",12115,118
"370",12117,38
"371",12119,0
"372",12121,0
"373",12123,6
"374",12125,0
"375",12127,148
"376",12129,0
"377",12131,28
"378",12133,0
"379",13001,3
"380",13003,0
"381",13005,4
"382",13007,0
"383",13009,12
"384",13011,0
"385",13013,6
"386",13015,21
"387",13017,5
"388",13019,0
"389",13021,117
"390",13023,0
"391",13025,0
"392",13027,0
"393",13029,0
"394",13031,24
"395",13033,0
"396",13035,0
"397",13037,0
"398",13039,5
"399",13043,6
"400",13045,18
"401",13047,0
"402",13049,0
"403",13051,78
"404",13053,0
"405",13055,0
"406",13057,15
"407",13059,104
"408",13061,0
"409",13063,34
"410",13065,0
"411",13067,119
"412",13069,10
"413",13071,10
"414",13073,0
"415",13075,0
"416",13077,19
"417",13079,0
"418",13081,16
"419",13083,0
"420",13085,0
"421",13087,10
"422",13089,168
"423",13091,6
"424",13093,0
"425",13095,50
"426",13097,8
"427",13099,0
"428",13101,0
"429",13103,0
"430",13105,4
"431",13107,8
"432",13109,0
"433",13111,5
"434",13113,37
"435",13115,65
"436",13117,24
"437",13119,8
"438",13121,538
"439",13123,0
"440",13125,0
"441",13127,24
"442",13129,8
"443",13131,4
"444",13133,0
"445",13135,82
"446",13137,4
"447",13139,85
"448",13141,0
"449",13143,0
"450",13145,0
"451",13147,0
"452",13149,0
"453",13151,40
"454",13153,36
"455",13155,0
"456",13157,0
"457",13159,0
"458",13161,4
"459",13163,0
"460",13165,0
"461",13167,0
"462",13169,0
"463",13171,0
"464",13173,0
"465",13175,16
"466",13177,0
"467",13179,0
"468",13181,0
"469",13183,0
"470",13185,48
"471",13187,0
"472",13189,0
"473",13191,0
"474",13193,0
"475",13195,0
"476",13197,0
"477",13199,0
"478",13201,0
"479",13205,0
"480",13207,0
"481",13209,0
"482",13211,0
"483",13213,0
"484",13215,61
"485",13217,10
"486",13219,0
"487",13221,0
"488",13223,8
"489",13225,0
"490",13227,6
"491",13229,0
"492",13231,0
"493",13233,0
"494",13235,6
"495",13237,0
"496",13239,0
"497",13241,0
"498",13243,0
"499",13245,264
"500",13247,16
"501",13249,0
"502",13251,0
"503",13253,0
"504",13255,22
"505",13257,6
"506",13259,0
"507",13261,10
"508",13263,0
"509",13265,0
"510",13267,0
"511",13269,0
"512",13271,0
"513",13273,0
"514",13275,35
"515",13277,20
"516",13279,8
"517",13281,0
"518",13283,0
"519",13285,20
"520",13287,0
"521",13289,0
"522",13291,5
"523",13293,28
"524",13295,0
"525",13297,7
"526",13299,22
"527",13301,0
"528",13303,0
"529",13305,12
"530",13307,0
"531",13309,0
"532",13311,0
"533",13313,34
"534",13315,0
"535",13317,0
"536",13319,0
"537",13321,0
"538",15001,24
"539",15003,148
"540",15005,0
"541",15007,9
"542",15009,20
"543",16001,105
"544",16003,0
"545",16005,20
"546",16007,0
"547",16009,0
"548",16011,5
"549",16013,0
"550",16015,0
"551",16017,4
"552",16019,35
"553",16021,0
"554",16023,0
"555",16025,0
"556",16027,41
"557",16029,0
"558",16031,6
"559",16033,0
"560",16035,0
"561",16037,0
"562",16039,0
"563",16041,0
"564",16043,0
"565",16045,0
"566",16047,0
"567",16049,0
"568",16051,0
"569",16053,0
"570",16055,55
"571",16057,0
"572",16059,0
"573",16061,0
"574",16063,0
"575",16065,4
"576",16067,0
"577",16069,9
"578",16071,0
"579",16073,0
"580",16075,0
"581",16077,0
"582",16079,0
"583",16081,0
"584",16083,30
"585",16085,0
"586",16087,0
"587",17001,25
"588",17003,0
"589",17005,0
"590",17007,0
"591",17009,0
"592",17011,9
"593",17013,0
"594",17015,0
"595",17017,0
"596",17019,51
"597",17021,0
"598",17023,0
"599",17025,0
"600",17027,4
"601",17029,9
"602",17031,1606
"603",17033,0
"604",17035,0
"605",17037,16
"606",17039,0
"607",17041,0
"608",17043,257
"609",17045,0
"610",17047,0
"611",17049,10
"612",17051,4
"613",17053,2
"614",17055,0
"615",17057,5
"616",17059,0
"617",17061,0
"618",17063,8
"619",17065,0
"620",17067,0
"621",17069,0
"622",17071,0
"623",17073,3
"624",17075,0
"625",17077,21
"626",17079,0
"627",17081,22
"628",17083,4
"629",17085,0
"630",17087,0
"631",17089,103
"632",17091,56
"633",17093,0
"634",17095,18
"635",17097,108
"636",17099,13
"637",17101,0
"638",17103,6
"639",17105,5
"640",17107,0
"641",17109,7
"642",17111,33
"643",17113,30
"644",17115,65
"645",17117,0
"646",17119,58
"647",17121,9
"648",17123,0
"649",17125,0
"650",17127,0
"651",17129,0
"652",17131,0
"653",17133,0
"654",17135,0
"655",17137,9
"656",17139,0
"657",17141,4
"658",17143,107
"659",17145,0
"660",17147,0
"661",17149,0
"662",17151,0
"663",17153,0
"664",17155,0
"665",17157,0
"666",17159,8
"667",17161,58
"668",17163,42
"669",17165,0
"670",17167,99
"671",17169,0
"672",17171,0
"673",17173,0
"674",17175,0
"675",17177,8
"676",17179,8
"677",17181,0
"678",17183,12
"679",17185,4
"680",17187,0
"681",17189,0
"682",17191,4
"683",17193,0
"684",17195,9
"685",17197,92
"686",17199,26
"687",17201,87
"688",17203,0
"689",18001,4
"690",18003,170
"691",18005,17
"692",18007,0
"693",18009,0
"694",18011,8
"695",18013,0
"696",18015,0
"697",18017,5
"698",18019,25
"699",18021,0
"700",18023,0
"701",18025,0
"702",18027,5
"703",18029,8
"704",18031,0
"705",18033,8
"706",18035,36
"707",18037,26
"708",18039,35
"709",18041,20
"710",18043,16
"711",18045,0
"712",18047,7
"713",18049,4
"714",18051,5
"715",18053,19
"716",18055,5
"717",18057,10
"718",18059,24
"719",18061,4
"720",18063,39
"721",18065,10
"722",18067,13
"723",18069,0
"724",18071,7
"725",18073,4
"726",18075,0
"727",18077,6
"728",18079,0
"729",18081,6
"730",18083,30
"731",18085,14
"732",18087,0
"733",18089,188
"734",18091,34
"735",18093,6
"736",18095,21
"737",18097,526
"738",18099,7
"739",18101,0
"740",18103,4
"741",18105,38
"742",18107,5
"743",18109,10
"744",18111,0
"745",18113,0
"746",18115,0
"747",18117,0
"748",18119,0
"749",18121,0
"750",18123,4
"751",18125,0
"752",18127,32
"753",18129,0
"754",18131,0
"755",18133,6
"756",18135,0
"757",18137,0
"758",18139,0
"759",18141,74
"760",18143,4
"761",18145,0
"762",18147,0
"763",18149,1
"764",18151,2
"765",18153,4
"766",18155,0
"767",18157,30
"768",18159,0
"769",18161,0
"770",18163,154
"771",18165,6
"772",18167,54
"773",18169,0
"774",18171,0
"775",18173,24
"776",18175,0
"777",18177,30
"778",18179,7
"779",18181,0
"780",18183,0
"781",19001,0
"782",19003,0
"783",19005,0
"784",19007,3
"785",19009,0
"786",19011,0
"787",19013,24
"788",19015,3
"789",19017,0
"790",19019,0
"791",19021,5
"792",19023,0
"793",19025,2
"794",19027,6
"795",19029,4
"796",19031,0
"797",19033,18
"798",19035,0
"799",19037,0
"800",19039,0
"801",19041,0
"802",19043,0
"803",19045,10
"804",19047,0
"805",19049,0
"806",19051,0
"807",19053,0
"808",19055,0
"809",19057,12
"810",19059,3
"811",19061,18
"812",19063,0
"813",19065,0
"814",19067,0
"815",19069,0
"816",19071,0
"817",19073,4
"818",19075,0
"819",19077,0
"820",19079,0
"821",19081,0
"822",19083,0
"823",19085,0
"824",19087,0
"825",19089,0
"826",19091,0
"827",19093,0
"828",19095,0
"829",19097,0
"830",19099,4
"831",19101,0
"832",19103,95
"833",19105,0
"834",19107,0
"835",19109,0
"836",19111,10
"837",19113,44
"838",19115,0
"839",19117,0
"840",19119,0
"841",19121,0
"842",19123,0
"843",19125,3
"844",19127,0
"845",19129,0
"846",19131,0
"847",19133,0
"848",19135,0
"849",19137,8
"850",19139,5
"851",19141,0
"852",19143,0
"853",19145,2
"854",19147,0
"855",19149,0
"856",19151,0
"857",19153,112
"858",19155,29
"859",19157,5
"860",19159,0
"861",19161,0
"862",19163,46
"863",19165,0
"864",19167,0
"865",19169,14
"866",19171,0
"867",19173,0
"868",19175,4
"869",19177,0
"870",19179,11
"871",19181,0
"872",19183,0
"873",19185,0
"874",19187,8
"875",19189,0
"876",19191,0
"877",19193,33
"878",19195,0
"879",19197,0
"880",20001,0
"881",20003,0
"882",20005,4
"883",20007,0
"884",20009,4
"885",20011,0
"886",20013,0
"887",20015,16
"888",20017,0
"889",20019,0
"890",20021,0
"891",20023,0
"892",20025,0
"893",20027,0
"894",20029,0
"895",20031,0
"896",20033,0
"897",20035,4
"898",20037,12
"899",20039,0
"900",20041,0
"901",20043,0
"902",20045,10
"903",20047,0
"904",20049,0
"905",20051,34
"906",20053,0
"907",20055,8
"908",20057,10
"909",20059,5
"910",20061,6
"911",20063,0
"912",20065,0
"913",20067,0
"914",20069,0
"915",20071,0
"916",20073,0
"917",20075,0
"918",20077,0
"919",20079,6
"920",20081,0
"921",20083,0
"922",20085,0
"923",20087,0
"924",20089,0
"925",20091,110
"926",20093,0
"927",20095,0
"928",20097,0
"929",20099,5
"930",20101,0
"931",20103,10
"932",20105,0
"933",20107,0
"934",20109,0
"935",20111,6
"936",20113,7
"937",20115,0
"938",20117,0
"939",20119,0
"940",20121,0
"941",20123,4
"942",20125,7
"943",20127,0
"944",20129,0
"945",20131,0
"946",20133,5
"947",20135,0
"948",20137,0
"949",20139,0
"950",20141,0
"951",20143,0
"952",20145,0
"953",20147,0
"954",20149,0
"955",20151,6
"956",20153,0
"957",20155,20
"958",20157,0
"959",20159,0
"960",20161,8
"961",20163,0
"962",20165,0
"963",20167,0
"964",20169,18
"965",20171,0
"966",20173,236
"967",20175,8
"968",20177,52
"969",20179,0
"970",20181,0
"971",20183,0
"972",20185,0
"973",20187,0
"974",20189,0
"975",20191,0
"976",20193,1
"977",20195,0
"978",20197,0
"979",20199,0
"980",20201,0
"981",20203,0
"982",20205,0
"983",20207,0
"984",20209,145
"985",21001,0
"986",21003,0
"987",21005,0
"988",21007,0
"989",21009,10
"990",21011,0
"991",21013,7
"992",21015,18
"993",21017,4
"994",21019,50
"995",21021,22
"996",21023,0
"997",21025,4
"998",21027,0
"999",21029,0
"1000",21031,0
"1001",21033,0
"1002",21035,10
"1003",21037,21
"1004",21039,0
"1005",21041,0
"1006",21043,0
"1007",21045,0
"1008",21047,18
"1009",21049,8
"1010",21051,6
"1011",21053,0
"1012",21055,0
"1013",21057,0
"1014",21059,32
"1015",21061,0
"1016",21063,0
"1017",21065,0
"1018",21067,260
"1019",21069,3
"1020",21071,16
"1021",21073,10
"1022",21075,0
"1023",21077,0
"1024",21079,0
"1025",21081,0
"1026",21083,8
"1027",21085,6
"1028",21087,0
"1029",21089,0
"1030",21091,0
"1031",21093,20
"1032",21095,7
"1033",21097,6
"1034",21099,0
"1035",21101,12
"1036",21103,0
"1037",21105,0
"1038",21107,19
"1039",21109,0
"1040",21111,366
"1041",21113,0
"1042",21115,6
"1043",21117,54
"1044",21119,0
"1045",21121,4
"1046",21123,0
"1047",21125,14
"1048",21127,6
"1049",21129,0
"1050",21131,0
"1051",21133,6
"1052",21135,0
"1053",21137,0
"1054",21139,0
"1055",21141,6
"1056",21143,0
"1057",21145,58
"1058",21147,0
"1059",21149,0
"1060",21151,12
"1061",21153,0
"1062",21155,6
"1063",21157,4
"1064",21159,0
"1065",21161,5
"1066",21163,0
"1067",21165,0
"1068",21167,4
"1069",21169,0
"1070",21171,0
"1071",21173,4
"1072",21175,0
"1073",21177,6
"1074",21179,4
"1075",21181,0
"1076",21183,4
"1077",21185,8
"1078",21187,0
"1079",21189,0
"1080",21191,0
"1081",21193,32
"1082",21195,76
"1083",21197,0
"1084",21199,38
"1085",21201,0
"1086",21203,0
"1087",21205,10
"1088",21207,2
"1089",21209,6
"1090",21211,4
"1091",21213,0
"1092",21215,0
"1093",21217,8
"1094",21219,0
"1095",21221,0
"1096",21223,0
"1097",21225,0
"1098",21227,52
"1099",21229,0
"1100",21231,0
"1101",21233,0
"1102",21235,10
"1103",21237,0
"1104",21239,0
"1105",22001,4
"1106",22003,3
"1107",22005,0
"1108",22007,0
"1109",22009,2
"1110",22011,6
"1111",22013,0
"1112",22015,0
"1113",22017,107
"1114",22019,75
"1115",22021,0
"1116",22023,0
"1117",22025,0
"1118",22027,4
"1119",22029,5
"1120",22031,0
"1121",22033,124
"1122",22035,0
"1123",22037,0
"1124",22039,24
"1125",22041,6
"1126",22043,0
"1127",22045,11
"1128",22047,0
"1129",22049,0
"1130",22051,215
"1131",22053,5
"1132",22055,80
"1133",22057,21
"1134",22059,0
"1135",22061,17
"1136",22063,0
"1137",22065,0
"1138",22067,12
"1139",22069,8
"1140",22071,111
"1141",22073,88
"1142",22075,0
"1143",22077,0
"1144",22079,26
"1145",22081,0
"1146",22083,2
"1147",22085,0
"1148",22087,8
"1149",22089,8
"1150",22091,0
"1151",22093,0
"1152",22095,0
"1153",22097,16
"1154",22099,0
"1155",22101,15
"1156",22103,149
"1157",22105,64
"1158",22107,0
"1159",22109,26
"1160",22111,0
"1161",22113,6
"1162",22115,7
"1163",22117,13
"1164",22119,16
"1165",22121,0
"1166",22123,0
"1167",22125,0
"1168",22127,5
"1169",23001,54
"1170",23003,12
"1171",23005,72
"1172",23007,5
"1173",23009,6
"1174",23011,16
"1175",23013,8
"1176",23015,4
"1177",23017,6
"1178",23019,51
"1179",23021,0
"1180",23023,0
"1181",23025,4
"1182",23027,4
"1183",23029,0
"1184",23031,14
"1185",24001,15
"1186",24003,53
"1187",24005,123
"1188",24009,4
"1189",24011,0
"1190",24013,10
"1191",24015,5
"1192",24017,10
"1193",24019,0
"1194",24021,18
"1195",24023,2
"1196",24025,19
"1197",24027,16
"1198",24029,6
"1199",24031,150
"1200",24033,89
"1201",24035,0
"1202",24037,12
"1203",24039,0
"1204",24041,16
"1205",24043,48
"1206",24045,24
"1207",24047,6
