state,county,raw_coef,raw_dt,adj_coef,adj_dt
AK,Anchorage,0.448950277754447,2.22741815641987,0.390251558649803,2.562449727196
AK,Fairbanks North Star Borough,0.248676343409401,4.02129123458149,0.189977624304757,5.2637777930933
AK,Kenai Peninsula Borough,0.269890798759233,3.70520226920403,0.211192079654589,4.73502605606957
AK,Ketchikan Gateway Borough,0.246596417676853,4.05520894999548,0.187897698572209,5.32204496169334
AK,Juneau City and Borough,0.35592086730936,2.80961329286382,0.247800647699728,4.03550196209232
AK,Matanuska-Susitna Borough,0,Inf,-0.108120219609632,-9.24896382573487
AZ,Coconino,0.488205289717427,2.04831865008836,0.459174660840493,2.17782052295647
AZ,Graham,0.133935289691497,7.46629213483146,0.104904660814563,9.53246492801376
AZ,Maricopa,0.508949735729716,1.96483057126699,0.479919106852781,2.08368449124231
AZ,Navajo,0.491236003519402,2.03568140941547,0.462205374642467,2.16354039754197
AZ,Pima,0.470500366381628,2.1253968571597,0.441469737504693,2.265160927343
AZ,Pinal,0.244573151425408,4.08875624397794,0.215542522548473,4.63945577038104
AZ,Santa Cruz,0.129716981132075,7.70909090909091,0.0869728600130193,11.4978396691831
AZ,Yavapai,0.396133560191963,2.52440111238091,0.353389439072907,2.82973934541856
AZ,Yuma,0.348587867734931,2.86871716591241,0.209390511425095,4.77576559316887
AZ,Apache,0.326938403117327,3.05868013810887,0.3987714209021,2.50770227650166
AZ,Cochise,0.318743303700207,3.13732081079435,0.390576321484979,2.56031905927625
AZ,La Paz,0,-Inf,0.0851807203416072,11.7397457545513
AZ,Mohave,0.507681559705083,1.96973866961193,0.59286228004669,1.68673237218136
AZ,Gila,0,Inf,0.180233981073092,5.54834329268055
CA,Alameda,0.205483603905013,4.8665683343877,0.132897597525233,7.52459050142068
CA,Amador,0,Inf,-0.0725860063797791,-13.7767601480632
CA,Butte,0.250822599123855,3.98688157882538,0.178236592744076,5.61052017772729
CA,Contra Costa,0.238072613692785,4.20039913238583,0.165486607313005,6.04278507026599
CA,El Dorado,0.414160416786859,2.41452335729765,0.34157441040708,2.92761977926925
CA,Fresno,0.297047205065264,3.36646830183199,0.224461198685486,4.45511298102438
CA,Humboldt,0.484453654334086,2.06418094084679,0.411867647954308,2.42796443218318
CA,Imperial,0.40348610022981,2.47840012191359,0.330900093850031,3.02206018851483
CA,Kern,0.528266177583651,1.89298509432141,0.455680171203872,2.19452164740475
CA,Los Angeles,0.34163046784065,2.92713939222318,0.26904446146087,3.71685778094131
CA,Madera,0.321282749078591,3.11252316804406,0.248696742698812,4.02096138915284
CA,Marin,0.15753035526467,6.34798289078876,0.0849443488848908,11.7724135051657
CA,Mendocino,0.188997500048077,5.29107527742759,0.116411493668298,8.59021706953948
CA,Monterey,0.16889707476924,5.92076565782016,0.0963110683894611,10.3830226029288
CA,Napa,0.395749114445278,2.52685341166638,0.323163108065499,3.09441262025899
CA,Nevada,0.501578958417468,1.99370404842161,0.428992952037689,2.33104062724123
CA,Orange,0.310127531479305,3.22447992679015,0.237541525099526,4.2097902654326
CA,Placer,0.274548964434091,3.64233754099649,0.201962958054312,4.95140301783003
CA,Riverside,0.361200097029232,2.76854853646142,0.288614090649452,3.46483429741686
CA,Sacramento,0.229890240818109,4.3499019203308,0.15730423443833,6.35710795434465
CA,San Benito,0.191095436585796,5.23298733798403,0.118509430206017,8.43814705936565
CA,San Bernardino,0.409901357557676,2.43961133956306,0.337315351177897,2.96458490996044
CA,San Diego,0.213203242386943,4.69036018779255,0.140617236007164,7.11150374161141
CA,San Francisco,0.254254619491071,3.93306521628457,0.181668613111292,5.50452817838925
CA,San Joaquin,0.237538166236642,4.20984979316449,0.164952159856863,6.06236378394652
CA,San Luis Obispo,0.192535191227321,5.19385569788813,0.119949184847542,8.33686365831517
CA,San Mateo,0.179853078546943,5.5600938726161,0.107267072167164,9.32252535467369
CA,Santa Barbara,0.277909836590376,3.5982893310608,0.205323830210597,4.87035527719466
CA,Santa Clara,0.171429393446627,5.83330536201974,0.0988433870668475,10.1170147004746
CA,Santa Cruz,0.200279981773021,4.99301024070049,0.127693975393241,7.83122302301608
CA,Shasta,0.0959147917027245,10.4259205722864,0.0233287853229456,42.8654979741455
CA,Siskiyou,0.0682456250841349,14.6529539258696,-0.00434038129564398,-230.394504972087
CA,Solano,0.157931895897205,6.33184319303608,0.085345889517426,11.7170259242048
CA,Sonoma,0.302435078128021,3.30649475646043,0.229849071748242,4.35068104645347
CA,Stanislaus,0.318905246538885,3.13572765218858,0.246319240159106,4.05977218569717
CA,Tulare,0.198380855525488,5.0408089901171,0.125794849145709,7.94945108477133
CA,Ventura,0.275521401992799,3.62948211197813,0.20293539561302,4.92767659864971
CA,Yolo,0.200712766978364,4.98224410462039,0.128126760598585,7.80477080141715
CA,Yuba,0.0682456250841349,14.6529539258696,-0.00434038129564398,-230.394504972087
CA,Unknown,0,Inf,-0.100178782001589,-9.98215370580307
CA,Calaveras,0.13370571445055,7.47911189966263,-0.0300245375363528,-33.3060916854833
CA,Merced,0.69226913394944,1.44452489784563,0.528538881962538,1.89200839167567
CA,Mono,0.448919874070438,2.2275690112198,0.285189622083535,3.50643895347317
CA,Inyo,0.732192809488736,1.36576047598482,0.539608269049392,1.85319621169198
CA,Sutter,0.316992500144231,3.15464876785729,0.124407959704887,8.03807089491816
CA,Colusa,0,-Inf,-0.149052144046676,-6.70906149251262
CA,Kings,0.5,2,0.350947855953324,2.84942615558535
CA,Glenn,0,Inf,-0.225948816281636,-4.42578109704961
CA,Tuolumne,,,,
