"area","age_decade","population_in_age_group"
"Israel","0-9",1756906
"Israel","10-19",1477212
"Israel","20-29",1258439
"Israel","30-39",1179872
"Israel","40-49",1093589
"Israel","50-59",836344
"Israel","60-69",739774
"Israel","70-79",483263
"Israel","80+",274596
