Year,GEO,Age group,VALUE
2019,Ontario,40 years,183803
2019,Ontario,41 years,181049
2019,Ontario,42 years,181912
2019,Ontario,43 years,183326
2019,Ontario,44 years,184978
2019,Ontario,45 to 49 years,941055
2019,Ontario,45 years,182483
2019,Ontario,46 years,183600
2019,Ontario,47 years,187168
2019,Ontario,48 years,194077
2019,Ontario,49 years,193727
2019,Ontario,50 to 54 years,991445
2019,Ontario,50 years,191798
2019,Ontario,51 years,190351
2019,Ontario,52 years,191806
2019,Ontario,53 years,202670
2019,Ontario,54 years,214820
2019,Ontario,55 to 59 years,1068094
2019,Ontario,55 years,219871
2019,Ontario,56 years,219355
2019,Ontario,57 years,212101
2019,Ontario,58 years,210979
2019,Ontario,59 years,205788
2019,Ontario,60 to 64 years,937761
2019,Ontario,60 years,198177
2019,Ontario,61 years,193393
2019,Ontario,62 years,187908
2019,Ontario,63 years,181029
2019,Ontario,64 years,177254
2019,Ontario,65 to 69 years,778647
2019,Ontario,65 years,168991
2019,Ontario,66 years,161286
2019,Ontario,67 years,154143
2019,Ontario,68 years,149421
2019,Ontario,69 years,144806
2019,Ontario,70 to 74 years,644425
2019,Ontario,70 years,141619
2019,Ontario,71 years,141524
2019,Ontario,72 years,140705
2019,Ontario,73 years,115263
2019,Ontario,74 years,105314
2019,Ontario,75 to 79 years,444319
2019,Ontario,75 years,101615
2019,Ontario,76 years,96608
2019,Ontario,77 years,87999
2019,Ontario,78 years,81792
2019,Ontario,79 years,76305
2019,Ontario,80 to 84 years,311137
2019,Ontario,80 years,72054
2019,Ontario,81 years,66878
2019,Ontario,82 years,61367
2019,Ontario,83 years,57908
2019,Ontario,84 years,52930
2019,Ontario,85 to 89 years,201296
2019,Ontario,85 years,47843
2019,Ontario,86 years,44664
2019,Ontario,87 years,40383
2019,Ontario,88 years,36703
2019,Ontario,89 years,31703
2019,Ontario,90 to 94 years,96675
2019,Ontario,90 years,26613
2019,Ontario,91 years,22864
2019,Ontario,92 years,18943
2019,Ontario,93 years,15609
2019,Ontario,94 years,12646
2019,Ontario,95 to 99 years,29701
2019,Ontario,95 years,9964
2019,Ontario,96 years,7593
2019,Ontario,97 years,5614
2019,Ontario,98 years,3921
2019,Ontario,99 years,2609
2019,Ontario,100 years and over,3762
2019,Ontario,0 to 14 years,2280177
2019,Ontario,0 to 15 years,2439551
2019,Ontario,0 to 16 years,2599828
2019,Ontario,0 to 17 years,2765376
2019,Ontario,15 to 49 years,6779108
2019,Ontario,15 to 64 years,9776408
2019,Ontario,16 to 64 years,9617034
2019,Ontario,17 to 64 years,9456757
2019,Ontario,18 years and over,11801171
2019,Ontario,18 to 64 years,9291209
2019,Ontario,18 to 24 years,1411604
2019,Ontario,25 to 44 years,3941250
2019,Ontario,45 to 64 years,3938355
2019,Ontario,65 years and over,2509962
2019,Ontario,90 years and over,130138
2019,Manitoba,All ages,1369465
2019,Manitoba,0 to 4 years,86184
2019,Manitoba,0 years,17350
2019,Manitoba,1 year,17126
2019,Manitoba,2 years,17031
2019,Manitoba,3 years,17150
2019,Manitoba,4 years,17527
2019,Manitoba,5 to 9 years,88473
2019,Manitoba,5 years,17758
2019,Manitoba,6 years,17886
2019,Manitoba,7 years,17611
2019,Manitoba,8 years,17497
2019,Manitoba,9 years,17721
2019,Manitoba,10 to 14 years,84455
2019,Manitoba,10 years,17602
2019,Manitoba,11 years,17339
2019,Manitoba,12 years,16916
2019,Manitoba,13 years,16494
2019,Manitoba,14 years,16104
2019,Manitoba,15 to 19 years,87834
2019,Manitoba,15 years,16467
2019,Manitoba,16 years,16441
2019,Manitoba,17 years,16949
2019,Manitoba,18 years,18135
2019,Manitoba,19 years,19842
2019,Manitoba,20 to 24 years,96457
2019,Manitoba,20 years,19853
2019,Manitoba,21 years,19288
2019,Manitoba,22 years,18835
2019,Manitoba,23 years,19093
2019,Manitoba,24 years,19388
2019,Manitoba,25 to 29 years,98926
2019,Manitoba,25 years,19621
2019,Manitoba,26 years,19492
2019,Manitoba,27 years,19751
2019,Manitoba,28 years,19922
2019,Manitoba,29 years,20140
2019,Manitoba,30 to 34 years,97477
2019,Manitoba,30 years,19576
2019,Manitoba,31 years,19272
2019,Manitoba,32 years,19430
2019,Manitoba,33 years,19776
2019,Manitoba,34 years,19423
2019,Manitoba,35 to 39 years,93248
2019,Manitoba,35 years,19376
2019,Manitoba,36 years,18751
2019,Manitoba,37 years,18628
2019,Manitoba,38 years,18459
2019,Manitoba,39 years,18034
2019,Manitoba,40 to 44 years,85485
2019,Manitoba,40 years,17453
2019,Manitoba,41 years,17260
2019,Manitoba,42 years,16946
2019,Manitoba,43 years,17027
2019,Manitoba,44 years,16799
2019,Manitoba,45 to 49 years,82440
2019,Manitoba,45 years,16408
2019,Manitoba,46 years,16315
2019,Manitoba,47 years,16505
2019,Manitoba,48 years,16671
2019,Manitoba,49 years,16541
2019,Manitoba,50 to 54 years,81825
2019,Manitoba,50 years,15974
2019,Manitoba,51 years,15748
2019,Manitoba,52 years,15731
2019,Manitoba,53 years,16604
2019,Manitoba,54 years,17768
2019,Manitoba,55 to 59 years,90670
2019,Manitoba,55 years,18159
2019,Manitoba,56 years,18211
2019,Manitoba,57 years,18175
2019,Manitoba,58 years,18198
2019,Manitoba,59 years,17927
2019,Manitoba,60 to 64 years,81675
2019,Manitoba,60 years,17040
2019,Manitoba,61 years,16702
2019,Manitoba,62 years,16337
2019,Manitoba,63 years,15832
2019,Manitoba,64 years,15764
2019,Manitoba,65 to 69 years,68689
2019,Manitoba,65 years,15168
2019,Manitoba,66 years,14312
2019,Manitoba,67 years,13568
2019,Manitoba,68 years,12965
2019,Manitoba,69 years,12676
2019,Manitoba,70 to 74 years,54316
2019,Manitoba,70 years,12139
2019,Manitoba,71 years,11928
2019,Manitoba,72 years,11643
2019,Manitoba,73 years,9784
2019,Manitoba,74 years,8822
2019,Manitoba,75 to 79 years,36807
2019,Manitoba,75 years,8466
2019,Manitoba,76 years,8043
2019,Manitoba,77 years,7186
2019,Manitoba,78 years,6916
2019,Manitoba,79 years,6196
2019,Manitoba,80 to 84 years,25338
2019,Manitoba,80 years,5823
2019,Manitoba,81 years,5479
2019,Manitoba,82 years,4943
2019,Manitoba,83 years,4776
2019,Manitoba,84 years,4317
2019,Manitoba,85 to 89 years,16860
2019,Manitoba,85 years,3936
2019,Manitoba,86 years,3689
2019,Manitoba,87 years,3443
2019,Manitoba,88 years,3003
2019,Manitoba,89 years,2789
2019,Manitoba,90 to 94 years,8765
2019,Manitoba,90 years,2370
2019,Manitoba,91 years,2117
2019,Manitoba,92 years,1692
2019,Manitoba,93 years,1413
2019,Manitoba,94 years,1173
2019,Manitoba,95 to 99 years,3020
2019,Manitoba,95 years,958
2019,Manitoba,96 years,751
2019,Manitoba,97 years,588
2019,Manitoba,98 years,437
2019,Manitoba,99 years,286
2019,Manitoba,100 years and over,521
2019,Manitoba,0 to 14 years,259112
2019,Manitoba,0 to 15 years,275579
2019,Manitoba,0 to 16 years,292020
2019,Manitoba,0 to 17 years,308969
2019,Manitoba,15 to 49 years,641867
2019,Manitoba,15 to 64 years,896037
2019,Manitoba,16 to 64 years,879570
2019,Manitoba,17 to 64 years,863129
2019,Manitoba,18 years and over,1060496
2019,Manitoba,18 to 64 years,846180
2019,Manitoba,18 to 24 years,134434
2019,Manitoba,25 to 44 years,375136
2019,Manitoba,45 to 64 years,336610
2019,Manitoba,65 years and over,214316
2019,Manitoba,90 years and over,12306
2019,Saskatchewan,All ages,1174462
2019,Saskatchewan,0 to 4 years,77513
2019,Saskatchewan,0 years,15341
2019,Saskatchewan,1 year,15385
2019,Saskatchewan,2 years,15474
2019,Saskatchewan,3 years,15634
2019,Saskatchewan,4 years,15679
2019,Saskatchewan,5 to 9 years,78079
2019,Saskatchewan,5 years,15720
2019,Saskatchewan,6 years,15566
2019,Saskatchewan,7 years,15459
2019,Saskatchewan,8 years,15654
2019,Saskatchewan,9 years,15680
2019,Saskatchewan,10 to 14 years,74591
2019,Saskatchewan,10 years,15642
2019,Saskatchewan,11 years,15540
2019,Saskatchewan,12 years,14820
2019,Saskatchewan,13 years,14526
2019,Saskatchewan,14 years,14063
2019,Saskatchewan,15 to 19 years,71675
2019,Saskatchewan,15 years,14293
2019,Saskatchewan,16 years,13933
2019,Saskatchewan,17 years,13909
2019,Saskatchewan,18 years,14352
2019,Saskatchewan,19 years,15188
2019,Saskatchewan,20 to 24 years,75192
2019,Saskatchewan,20 years,15030
2019,Saskatchewan,21 years,14809
2019,Saskatchewan,22 years,15004
2019,Saskatchewan,23 years,15042
2019,Saskatchewan,24 years,15307
2019,Saskatchewan,25 to 29 years,81054
2019,Saskatchewan,25 years,15665
2019,Saskatchewan,26 years,15791
2019,Saskatchewan,27 years,15843
2019,Saskatchewan,28 years,16739
2019,Saskatchewan,29 years,17016
2019,Saskatchewan,30 to 34 years,86608
2019,Saskatchewan,30 years,16929
2019,Saskatchewan,31 years,17065
2019,Saskatchewan,32 years,17485
2019,Saskatchewan,33 years,17526
2019,Saskatchewan,34 years,17603
2019,Saskatchewan,35 to 39 years,84448
2019,Saskatchewan,35 years,17511
2019,Saskatchewan,36 years,17476
2019,Saskatchewan,37 years,16851
2019,Saskatchewan,38 years,16492
2019,Saskatchewan,39 years,16118
2019,Saskatchewan,40 to 44 years,73807
2019,Saskatchewan,40 years,15726
2019,Saskatchewan,41 years,15210
2019,Saskatchewan,42 years,14817
2019,Saskatchewan,43 years,14274
2019,Saskatchewan,44 years,13780
2019,Saskatchewan,45 to 49 years,66936
2019,Saskatchewan,45 years,13455
2019,Saskatchewan,46 years,13426
2019,Saskatchewan,47 years,13298
2019,Saskatchewan,48 years,13435
2019,Saskatchewan,49 years,13322
2019,Saskatchewan,50 to 54 years,67715
2019,Saskatchewan,50 years,13295
2019,Saskatchewan,51 years,12877
2019,Saskatchewan,52 years,12989
2019,Saskatchewan,53 years,13735
2019,Saskatchewan,54 years,14819
2019,Saskatchewan,55 to 59 years,78454
2019,Saskatchewan,55 years,15602
2019,Saskatchewan,56 years,16074
2019,Saskatchewan,57 years,15546
2019,Saskatchewan,58 years,15608
2019,Saskatchewan,59 years,15624
2019,Saskatchewan,60 to 64 years,73693
2019,Saskatchewan,60 years,15285
2019,Saskatchewan,61 years,14930
2019,Saskatchewan,62 years,14684
2019,Saskatchewan,63 years,14454
2019,Saskatchewan,64 years,14340
2019,Saskatchewan,65 to 69 years,59130
2019,Saskatchewan,65 years,13541
2019,Saskatchewan,66 years,12470
2019,Saskatchewan,67 years,11621
2019,Saskatchewan,68 years,10989
2019,Saskatchewan,69 years,10509
2019,Saskatchewan,70 to 74 years,44300
2019,Saskatchewan,70 years,9997
2019,Saskatchewan,71 years,9634
2019,Saskatchewan,72 years,9373
2019,Saskatchewan,73 years,7998
2019,Saskatchewan,74 years,7298
2019,Saskatchewan,75 to 79 years,31005
2019,Saskatchewan,75 years,6889
2019,Saskatchewan,76 years,6670
2019,Saskatchewan,77 years,6060
2019,Saskatchewan,78 years,5972
2019,Saskatchewan,79 years,5414
2019,Saskatchewan,80 to 84 years,22676
2019,Saskatchewan,80 years,5094
2019,Saskatchewan,81 years,4911
2019,Saskatchewan,82 years,4492
2019,Saskatchewan,83 years,4252
2019,Saskatchewan,84 years,3927
2019,Saskatchewan,85 to 89 years,15843
2019,Saskatchewan,85 years,3776
2019,Saskatchewan,86 years,3365
2019,Saskatchewan,87 years,3186
2019,Saskatchewan,88 years,2871
2019,Saskatchewan,89 years,2645
2019,Saskatchewan,90 to 94 years,8340
2019,Saskatchewan,90 years,2256
2019,Saskatchewan,91 years,1996
2019,Saskatchewan,92 years,1643
2019,Saskatchewan,93 years,1325
2019,Saskatchewan,94 years,1120
2019,Saskatchewan,95 to 99 years,2899
2019,Saskatchewan,95 years,924
2019,Saskatchewan,96 years,725
2019,Saskatchewan,97 years,559
2019,Saskatchewan,98 years,394
2019,Saskatchewan,99 years,297
2019,Saskatchewan,100 years and over,504
2019,Saskatchewan,0 to 14 years,230183
2019,Saskatchewan,0 to 15 years,244476
2019,Saskatchewan,0 to 16 years,258409
2019,Saskatchewan,0 to 17 years,272318
2019,Saskatchewan,15 to 49 years,539720
2019,Saskatchewan,15 to 64 years,759582
2019,Saskatchewan,16 to 64 years,745289
2019,Saskatchewan,17 to 64 years,731356
2019,Saskatchewan,18 years and over,902144
2019,Saskatchewan,18 to 64 years,717447
2019,Saskatchewan,18 to 24 years,104732
2019,Saskatchewan,25 to 44 years,325917
2019,Saskatchewan,45 to 64 years,286798
2019,Saskatchewan,65 years and over,184697
2019,Saskatchewan,90 years and over,11743
2019,Alberta,All ages,4371316
2019,Alberta,0 to 4 years,274355
2019,Alberta,0 years,53888
2019,Alberta,1 year,53733
2019,Alberta,2 years,54779
2019,Alberta,3 years,56733
2019,Alberta,4 years,55222
2019,Alberta,5 to 9 years,277117
2019,Alberta,5 years,54999
2019,Alberta,6 years,55042
2019,Alberta,7 years,55244
2019,Alberta,8 years,55228
2019,Alberta,9 years,56604
2019,Alberta,10 to 14 years,268395
2019,Alberta,10 years,56380
2019,Alberta,11 years,55889
2019,Alberta,12 years,53899
2019,Alberta,13 years,51598
2019,Alberta,14 years,50629
2019,Alberta,15 to 19 years,254877
2019,Alberta,15 years,50947
2019,Alberta,16 years,50170
2019,Alberta,17 years,49468
2019,Alberta,18 years,51093
2019,Alberta,19 years,53199
2019,Alberta,20 to 24 years,277814
2019,Alberta,20 years,54069
2019,Alberta,21 years,53979
2019,Alberta,22 years,54568
2019,Alberta,23 years,56824
2019,Alberta,24 years,58374
2019,Alberta,25 to 29 years,322348
2019,Alberta,25 years,59642
2019,Alberta,26 years,61510
2019,Alberta,27 years,64020
2019,Alberta,28 years,67196
2019,Alberta,29 years,69980
2019,Alberta,30 to 34 years,356080
2019,Alberta,30 years,70184
2019,Alberta,31 years,69250
2019,Alberta,32 years,71021
2019,Alberta,33 years,72946
2019,Alberta,34 years,72679
2019,Alberta,35 to 39 years,352392
2019,Alberta,35 years,73149
2019,Alberta,36 years,72194
2019,Alberta,37 years,70761
2019,Alberta,38 years,68815
2019,Alberta,39 years,67473
2019,Alberta,40 to 44 years,310907
2019,Alberta,40 years,65250
2019,Alberta,41 years,63147
2019,Alberta,42 years,61675
2019,Alberta,43 years,61364
2019,Alberta,44 years,59471
2019,Alberta,45 to 49 years,284912
2019,Alberta,45 years,57989
2019,Alberta,46 years,56907
2019,Alberta,47 years,56826
2019,Alberta,48 years,57468
2019,Alberta,49 years,55722
2019,Alberta,50 to 54 years,267626
2019,Alberta,50 years,53932
2019,Alberta,51 years,52547
2019,Alberta,52 years,51996
2019,Alberta,53 years,53241
2019,Alberta,54 years,55910
2019,Alberta,55 to 59 years,286198
2019,Alberta,55 years,57873
2019,Alberta,56 years,58153
2019,Alberta,57 years,56986
2019,Alberta,58 years,57114
2019,Alberta,59 years,56072
2019,Alberta,60 to 64 years,257898
2019,Alberta,60 years,54484
2019,Alberta,61 years,53415
2019,Alberta,62 years,51512
2019,Alberta,63 years,50310
2019,Alberta,64 years,48177
2019,Alberta,65 to 69 years,198601
2019,Alberta,65 years,45363
2019,Alberta,66 years,41959
2019,Alberta,67 years,38852
2019,Alberta,68 years,36995
2019,Alberta,69 years,35432
2019,Alberta,70 to 74 years,147896
2019,Alberta,70 years,33474
2019,Alberta,71 years,32869
2019,Alberta,72 years,31543
2019,Alberta,73 years,26264
2019,Alberta,74 years,23746
2019,Alberta,75 to 79 years,98084
2019,Alberta,75 years,22735
2019,Alberta,76 years,21316
2019,Alberta,77 years,19287
2019,Alberta,78 years,18223
2019,Alberta,79 years,16523
2019,Alberta,80 to 84 years,65905
2019,Alberta,80 years,15169
2019,Alberta,81 years,14152
2019,Alberta,82 years,12982
2019,Alberta,83 years,12361
2019,Alberta,84 years,11241
2019,Alberta,85 to 89 years,43176
2019,Alberta,85 years,10330
2019,Alberta,86 years,9596
2019,Alberta,87 years,8599
2019,Alberta,88 years,7856
2019,Alberta,89 years,6795
2019,Alberta,90 to 94 years,20012
2019,Alberta,90 years,5707
2019,Alberta,91 years,4866
2019,Alberta,92 years,3936
2019,Alberta,93 years,3111
2019,Alberta,94 years,2392
2019,Alberta,95 to 99 years,5796
2019,Alberta,95 years,1898
2019,Alberta,96 years,1437
2019,Alberta,97 years,1074
2019,Alberta,98 years,797
2019,Alberta,99 years,590
2019,Alberta,100 years and over,927
2019,Alberta,0 to 14 years,819867
2019,Alberta,0 to 15 years,870814
2019,Alberta,0 to 16 years,920984
2019,Alberta,0 to 17 years,970452
2019,Alberta,15 to 49 years,2159330
2019,Alberta,15 to 64 years,2971052
2019,Alberta,16 to 64 years,2920105
2019,Alberta,17 to 64 years,2869935
2019,Alberta,18 years and over,3400864
2019,Alberta,18 to 64 years,2820467
2019,Alberta,18 to 24 years,382106
2019,Alberta,25 to 44 years,1341727
2019,Alberta,45 to 64 years,1096634
2019,Alberta,65 years and over,580397
2019,Alberta,90 years and over,26735
2019,British Columbia,All ages,5071336
2019,British Columbia,0 to 4 years,227118
2019,British Columbia,0 years,43319
2019,British Columbia,1 year,44487
2019,British Columbia,2 years,45744
2019,British Columbia,3 years,46229
2019,British Columbia,4 years,47339
2019,British Columbia,5 to 9 years,241803
2019,British Columbia,5 years,47633
2019,British Columbia,6 years,48509
2019,British Columbia,7 years,48351
2019,British Columbia,8 years,48022
2019,British Columbia,9 years,49288
2019,British Columbia,10 to 14 years,244657
2019,British Columbia,10 years,49843
2019,British Columbia,11 years,49853
2019,British Columbia,12 years,48761
2019,British Columbia,13 years,47937
2019,British Columbia,14 years,48263
2019,British Columbia,15 to 19 years,277122
2019,British Columbia,15 years,49690
2019,British Columbia,16 years,51987
2019,British Columbia,17 years,53304
2019,British Columbia,18 years,57513
2019,British Columbia,19 years,64628
2019,British Columbia,20 to 24 years,336531
2019,British Columbia,20 years,67506
2019,British Columbia,21 years,67675
2019,British Columbia,22 years,66758
2019,British Columbia,23 years,67234
2019,British Columbia,24 years,67358
2019,British Columbia,25 to 29 years,354021
2019,British Columbia,25 years,67924
2019,British Columbia,26 years,69038
2019,British Columbia,27 years,70973
2019,British Columbia,28 years,72234
2019,British Columbia,29 years,73852
2019,British Columbia,30 to 34 years,366111
2019,British Columbia,30 years,73589
2019,British Columbia,31 years,72888
2019,British Columbia,32 years,72560
2019,British Columbia,33 years,73758
2019,British Columbia,34 years,73316
2019,British Columbia,35 to 39 years,351725
2019,British Columbia,35 years,72809
2019,British Columbia,36 years,71806
2019,British Columbia,37 years,71028
2019,British Columbia,38 years,68827
2019,British Columbia,39 years,67255
2019,British Columbia,40 to 44 years,315716
2019,British Columbia,40 years,64384
2019,British Columbia,41 years,62677
2019,British Columbia,42 years,62687
2019,British Columbia,43 years,62982
2019,British Columbia,44 years,62986
2019,British Columbia,45 to 49 years,330697
2019,British Columbia,45 years,62911
2019,British Columbia,46 years,63449
2019,British Columbia,47 years,64881
2019,British Columbia,48 years,69410
2019,British Columbia,49 years,70046
2019,British Columbia,50 to 54 years,345770
2019,British Columbia,50 years,69532
2019,British Columbia,51 years,67571
2019,British Columbia,52 years,66411
2019,British Columbia,53 years,69331
2019,British Columbia,54 years,72925
2019,British Columbia,55 to 59 years,377943
2019,British Columbia,55 years,76571
2019,British Columbia,56 years,77433
2019,British Columbia,57 years,74579
2019,British Columbia,58 years,74927
2019,British Columbia,59 years,74433
2019,British Columbia,60 to 64 years,354060
2019,British Columbia,60 years,72930
2019,British Columbia,61 years,72769
2019,British Columbia,62 years,70541
2019,British Columbia,63 years,69608
2019,British Columbia,64 years,68212
2019,British Columbia,65 to 69 years,305446
2019,British Columbia,65 years,65341
2019,British Columbia,66 years,62926
2019,British Columbia,67 years,60438
2019,British Columbia,68 years,58700
2019,British Columbia,69 years,58041
2019,British Columbia,70 to 74 years,246972
2019,British Columbia,70 years,55262
2019,British Columbia,71 years,54760
2019,British Columbia,72 years,53562
2019,British Columbia,73 years,43457
2019,British Columbia,74 years,39931
2019,British Columbia,75 to 79 years,166322
2019,British Columbia,75 years,38830
2019,British Columbia,76 years,36356
2019,British Columbia,77 years,32726
2019,British Columbia,78 years,30595
2019,British Columbia,79 years,27815
2019,British Columbia,80 to 84 years,110843
2019,British Columbia,80 years,25514
2019,British Columbia,81 years,23743
2019,British Columbia,82 years,22080
2019,British Columbia,83 years,20704
2019,British Columbia,84 years,18802
2019,British Columbia,85 to 89 years,71831
2019,British Columbia,85 years,17180
2019,British Columbia,86 years,15987
2019,British Columbia,87 years,14446
2019,British Columbia,88 years,12956
2019,British Columbia,89 years,11262
2019,British Columbia,90 to 94 years,34153
2019,British Columbia,90 years,9485
2019,British Columbia,91 years,8051
2019,British Columbia,92 years,6759
2019,British Columbia,93 years,5484
2019,British Columbia,94 years,4374
2019,British Columbia,95 to 99 years,10811
2019,British Columbia,95 years,3446
2019,British Columbia,96 years,2748
2019,British Columbia,97 years,2026
2019,British Columbia,98 years,1496
2019,British Columbia,99 years,1095
2019,British Columbia,100 years and over,1684
2019,British Columbia,0 to 14 years,713578
2019,British Columbia,0 to 15 years,763268
2019,British Columbia,0 to 16 years,815255
2019,British Columbia,0 to 17 years,868559
2019,British Columbia,15 to 49 years,2331923
2019,British Columbia,15 to 64 years,3409696
2019,British Columbia,16 to 64 years,3360006
2019,British Columbia,17 to 64 years,3308019
2019,British Columbia,18 years and over,4202777
2019,British Columbia,18 to 64 years,3254715
2019,British Columbia,18 to 24 years,458672
2019,British Columbia,25 to 44 years,1387573
2019,British Columbia,45 to 64 years,1408470
2019,British Columbia,65 years and over,948062
2019,British Columbia,90 years and over,46648
2019,Yukon,All ages,40854
2019,Yukon,0 to 4 years,2362
2019,Yukon,0 years,475
2019,Yukon,1 year,469
2019,Yukon,2 years,467
2019,Yukon,3 years,462
2019,Yukon,4 years,489
2019,Yukon,5 to 9 years,2395
2019,Yukon,5 years,487
2019,Yukon,6 years,478
2019,Yukon,7 years,499
2019,Yukon,8 years,474
2019,Yukon,9 years,457
2019,Yukon,10 to 14 years,2152
2019,Yukon,10 years,441
2019,Yukon,11 years,449
2019,Yukon,12 years,443
2019,Yukon,13 years,419
2019,Yukon,14 years,400
2019,Yukon,15 to 19 years,2042
2019,Yukon,15 years,409
2019,Yukon,16 years,395
2019,Yukon,17 years,406
2019,Yukon,18 years,398
2019,Yukon,19 years,434
2019,Yukon,20 to 24 years,2338
2019,Yukon,20 years,466
2019,Yukon,21 years,484
2019,Yukon,22 years,472
2019,Yukon,23 years,456
2019,Yukon,24 years,460
2019,Yukon,25 to 29 years,2884
2019,Yukon,25 years,502
2019,Yukon,26 years,544
2019,Yukon,27 years,557
2019,Yukon,28 years,645
2019,Yukon,29 years,636
2019,Yukon,30 to 34 years,3370
2019,Yukon,30 years,635
2019,Yukon,31 years,677
2019,Yukon,32 years,679
2019,Yukon,33 years,718
2019,Yukon,34 years,661
2019,Yukon,35 to 39 years,3384
2019,Yukon,35 years,716
2019,Yukon,36 years,711
2019,Yukon,37 years,662
2019,Yukon,38 years,667
2019,Yukon,39 years,628
2019,Yukon,40 to 44 years,2887
2019,Yukon,40 years,588
2019,Yukon,41 years,605
2019,Yukon,42 years,555
2019,Yukon,43 years,604
2019,Yukon,44 years,535
2019,Yukon,45 to 49 years,2821
2019,Yukon,45 years,515
2019,Yukon,46 years,540
2019,Yukon,47 years,594
2019,Yukon,48 years,618
2019,Yukon,49 years,554
2019,Yukon,50 to 54 years,2779
2019,Yukon,50 years,527
2019,Yukon,51 years,535
2019,Yukon,52 years,551
2019,Yukon,53 years,552
2019,Yukon,54 years,614
2019,Yukon,55 to 59 years,3261
2019,Yukon,55 years,637
2019,Yukon,56 years,646
2019,Yukon,57 years,661
2019,Yukon,58 years,674
2019,Yukon,59 years,643
2019,Yukon,60 to 64 years,3008
2019,Yukon,60 years,641
2019,Yukon,61 years,624
2019,Yukon,62 years,593
2019,Yukon,63 years,584
2019,Yukon,64 years,566
2019,Yukon,65 to 69 years,2171
2019,Yukon,65 years,536
2019,Yukon,66 years,455
2019,Yukon,67 years,437
2019,Yukon,68 years,400
2019,Yukon,69 years,343
2019,Yukon,70 to 74 years,1440
2019,Yukon,70 years,319
2019,Yukon,71 years,319
2019,Yukon,72 years,342
2019,Yukon,73 years,234
2019,Yukon,74 years,226
2019,Yukon,75 to 79 years,780
2019,Yukon,75 years,222
2019,Yukon,76 years,166
2019,Yukon,77 years,136
2019,Yukon,78 years,128
2019,Yukon,79 years,128
2019,Yukon,80 to 84 years,449
2019,Yukon,80 years,103
2019,Yukon,81 years,108
2019,Yukon,82 years,92
2019,Yukon,83 years,65
2019,Yukon,84 years,81
2019,Yukon,85 to 89 years,224
2019,Yukon,85 years,51
2019,Yukon,86 years,44
2019,Yukon,87 years,49
2019,Yukon,88 years,43
2019,Yukon,89 years,37
2019,Yukon,90 to 94 years,76
2019,Yukon,90 years,22
2019,Yukon,91 years,16
2019,Yukon,92 years,18
2019,Yukon,93 years,12
2019,Yukon,94 years,8
2019,Yukon,95 to 99 years,28
2019,Yukon,95 years,8
2019,Yukon,96 years,8
2019,Yukon,97 years,5
2019,Yukon,98 years,4
2019,Yukon,99 years,3
2019,Yukon,100 years and over,3
2019,Yukon,0 to 14 years,6909
2019,Yukon,0 to 15 years,7318
2019,Yukon,0 to 16 years,7713
2019,Yukon,0 to 17 years,8119
2019,Yukon,15 to 49 years,19726
2019,Yukon,15 to 64 years,28774
2019,Yukon,16 to 64 years,28365
2019,Yukon,17 to 64 years,27970
2019,Yukon,18 years and over,32735
2019,Yukon,18 to 64 years,27564
2019,Yukon,18 to 24 years,3170
2019,Yukon,25 to 44 years,12525
2019,Yukon,45 to 64 years,11869
2019,Yukon,65 years and over,5171
2019,Yukon,90 years and over,107
2019,Northwest Territories,All ages,44826
2019,Northwest Territories,0 to 4 years,3064
2019,Northwest Territories,0 years,582
2019,Northwest Territories,1 year,594
2019,Northwest Territories,2 years,575
2019,Northwest Territories,3 years,654
2019,Northwest Territories,4 years,659
2019,Northwest Territories,5 to 9 years,3048
2019,Northwest Territories,5 years,606
2019,Northwest Territories,6 years,613
2019,Northwest Territories,7 years,608
2019,Northwest Territories,8 years,597
2019,Northwest Territories,9 years,624
2019,Northwest Territories,10 to 14 years,2921
2019,Northwest Territories,10 years,567
2019,Northwest Territories,11 years,610
2019,Northwest Territories,12 years,587
2019,Northwest Territories,13 years,590
2019,Northwest Territories,14 years,567
2019,Northwest Territories,15 to 19 years,2822
2019,Northwest Territories,15 years,572
2019,Northwest Territories,16 years,535
2019,Northwest Territories,17 years,532
2019,Northwest Territories,18 years,589
2019,Northwest Territories,19 years,594
2019,Northwest Territories,20 to 24 years,3045
2019,Northwest Territories,20 years,519
2019,Northwest Territories,21 years,582
2019,Northwest Territories,22 years,609
2019,Northwest Territories,23 years,662
2019,Northwest Territories,24 years,673
2019,Northwest Territories,25 to 29 years,3749
2019,Northwest Territories,25 years,697
2019,Northwest Territories,26 years,707
2019,Northwest Territories,27 years,731
2019,Northwest Territories,28 years,804
2019,Northwest Territories,29 years,810
2019,Northwest Territories,30 to 34 years,3652
2019,Northwest Territories,30 years,752
2019,Northwest Territories,31 years,743
2019,Northwest Territories,32 years,733
2019,Northwest Territories,33 years,726
2019,Northwest Territories,34 years,698
2019,Northwest Territories,35 to 39 years,3445
2019,Northwest Territories,35 years,713
2019,Northwest Territories,36 years,654
2019,Northwest Territories,37 years,668
2019,Northwest Territories,38 years,687
2019,Northwest Territories,39 years,723
2019,Northwest Territories,40 to 44 years,3147
2019,Northwest Territories,40 years,687
2019,Northwest Territories,41 years,646
2019,Northwest Territories,42 years,647
2019,Northwest Territories,43 years,591
2019,Northwest Territories,44 years,576
2019,Northwest Territories,45 to 49 years,3043
2019,Northwest Territories,45 years,544
