age_decade,area,pruid,population_in_age_group,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate,num_acute_beds,num_icu_beds,Cases
50-59,Prince Edward Island,11,22609,0.102,0.089556,0.012444,0.006,295,24,22
50-59,Quebec,24,1207213,0.102,0.089556,0.012444,0.006,,,6101
50-59,Saskatchewan,47,146169,0.102,0.089556,0.012444,0.006,2198,106,220
50-59,Yukon,60,6040,0.102,0.089556,0.012444,0.006,55,0,6
60-69,Alberta,48,456499,0.166,0.120516,0.045484,0.022,5741,671,1075
60-69,British Columbia,59,659506,0.166,0.120516,0.045484,0.022,5862,607,1174
60-69,Manitoba,46,150364,0.166,0.120516,0.045484,0.022,2885,246,164
60-69,New Brunswick,13,115293,0.166,0.120516,0.045484,0.022,1448,144,95
60-69,Newfoundland and Labrador,10,81344,0.166,0.120516,0.045484,0.022,1048,92,183
60-69,Northwest Territories,61,4250,0.166,0.120516,0.045484,0.022,0,0,4
60-69,Nova Scotia,12,139767,0.166,0.120516,0.045484,0.022,1832,123,207
60-69,Nunavut,62,1770,0.166,0.120516,0.045484,0.022,,,0
60-69,Ontario,35,1716408,0.166,0.120516,0.045484,0.022,15072,1678,3255
60-69,Prince Edward Island,11,21273,0.166,0.120516,0.045484,0.022,295,24,22
60-69,Quebec,24,1124019,0.166,0.120516,0.045484,0.022,,,6101
60-69,Saskatchewan,47,132823,0.166,0.120516,0.045484,0.022,2198,106,220
60-69,Yukon,60,5179,0.166,0.120516,0.045484,0.022,55,0,6
70-79,Alberta,48,245980,0.243,0.138024,0.104976,0.051,5741,671,1075
70-79,British Columbia,59,413294,0.243,0.138024,0.104976,0.051,5862,607,1174
70-79,Manitoba,46,91123,0.243,0.138024,0.104976,0.051,2885,246,164
70-79,New Brunswick,13,73855,0.243,0.138024,0.104976,0.051,1448,144,95
70-79,Newfoundland and Labrador,10,50674,0.243,0.138024,0.104976,0.051,1048,92,183
70-79,Northwest Territories,61,1531,0.243,0.138024,0.104976,0.051,0,0,4
70-79,Nova Scotia,12,90664,0.243,0.138024,0.104976,0.051,1832,123,207
70-79,Nunavut,62,684,0.243,0.138024,0.104976,0.051,,,0
70-79,Ontario,35,1088744,0.243,0.138024,0.104976,0.051,15072,1678,3255
70-79,Prince Edward Island,11,14019,0.243,0.138024,0.104976,0.051,295,24,22
70-79,Quebec,24,722944,0.243,0.138024,0.104976,0.051,,,6101
70-79,Saskatchewan,47,75305,0.243,0.138024,0.104976,0.051,2198,106,220
